x,y,t,v,l,c
23.369694,60.929833,1440,0,0.0,45
23.372323906901578,60.92464091781903,1441,0,0.0,45
23.374953813803156,60.919448835638065,1442,0,0.0,45
23.377583720704738,60.914256753457096,1443,0,0.0,45
23.380213627606317,60.90906467127613,1444,0,0.0,45
23.382843534507895,60.90387258909516,1445,0,0.0,45
23.385473441409474,60.89868050691419,1446,0,0.0,45
23.388103348311052,60.89348842473322,1447,0,0.0,45
23.390733255212634,60.88829634255225,1448,0,0.0,45
23.393363162114213,60.88310426037128,1449,0,0.0,45
23.39599306901579,60.877912178190314,1450,0,0.0,45
23.39862297591737,60.872720096009346,1451,0,0.0,45
23.401252882818948,60.86752801382838,1452,0,0.0,45
23.40388278972053,60.86233593164741,1453,0,0.0,45
23.40651269662211,60.85714384946644,1454,0,0.0,45
23.409142603523687,60.85195176728547,1455,0,0.0,45
23.411772510425266,60.8467596851045,1456,0,0.0,45
23.414402417326844,60.84156760292353,1457,0,0.0,45
23.417032324228426,60.836375520742564,1458,0,0.0,45
23.419662231130005,60.831183438561595,1459,0,0.0,45
23.422292138031583,60.82599135638063,1460,0,0.0,45
23.42492204493316,60.820799274199665,1461,0,0.0,45
23.42755195183474,60.815607192018696,1462,0,0.0,45
23.430181858736322,60.81041510983773,1463,0,0.0,45
23.4328117656379,60.80522302765676,1464,0,0.0,45
23.43544167253948,60.80003094547579,1465,0,0.0,45
23.438071579441058,60.79483886329482,1466,0,0.0,45
23.440701486342636,60.78964678111385,1467,0,0.0,45
23.443331393244218,60.78445469893288,1468,0,0.0,45
23.445961300145797,60.779262616751915,1469,0,0.0,45
23.448591207047375,60.774070534570946,1470,0,0.0,45
23.451221113948954,60.76887845238998,1471,0,0.0,45
23.453851020850532,60.76368637020901,1472,0,0.0,45
23.456480927752114,60.75849428802804,1473,0,0.0,45
23.459110834653693,60.75330220584707,1474,0,0.0,45
23.46174074155527,60.7481101236661,1475,0,0.0,45
23.46437064845685,60.74291804148513,1476,0,0.0,45
23.465991986061674,60.739717122820565,1477,0,45.0,45
23.465991986061674,60.739717122820565,1478,0,45.0,45
23.465991986061674,60.739717122820565,1479,0,45.0,45
23.465991986061674,60.739717122820565,1480,0,45.0,45
23.465991986061674,60.739717122820565,1481,0,45.0,45
23.465991986061674,60.739717122820565,1482,0,45.0,45
23.465991986061674,60.739717122820565,1483,0,45.0,45
23.465991986061674,60.739717122820565,1484,0,45.0,45
23.465991986061674,60.739717122820565,1485,0,45.0,45
23.465991986061674,60.739717122820565,1486,0,45.0,45
23.465991986061674,60.739717122820565,1487,0,45.0,45
23.465991986061674,60.739717122820565,1488,0,45.0,45
23.465991986061674,60.739717122820565,1489,0,45.0,45
23.465991986061674,60.739717122820565,1490,0,45.0,45
23.465991986061674,60.739717122820565,1491,0,45.0,45
23.465991986061674,60.739717122820565,1492,0,45.0,45
23.465991986061674,60.739717122820565,1493,0,45.0,45
23.465991986061674,60.739717122820565,1494,0,45.0,45
23.465991986061674,60.739717122820565,1495,0,45.0,45
23.465991986061674,60.739717122820565,1496,0,45.0,45
23.465991986061674,60.739717122820565,1497,0,45.0,45
23.465991986061674,60.739717122820565,1498,0,45.0,45
23.465991986061674,60.739717122820565,1499,0,45.0,45
23.465991986061674,60.739717122820565,1500,0,45.0,45
23.465991986061674,60.739717122820565,1501,0,45.0,45
23.465991986061674,60.739717122820565,1502,0,45.0,45
23.465991986061674,60.739717122820565,1503,0,45.0,45
23.465991986061674,60.739717122820565,1504,0,45.0,45
23.465991986061674,60.739717122820565,1505,0,45.0,45
23.465991986061674,60.739717122820565,1506,0,45.0,45
23.465991986061674,60.739717122820565,1507,0,45.0,45
23.465991986061674,60.739717122820565,1508,0,45.0,45
23.465991986061674,60.739717122820565,1509,0,45.0,45
23.465991986061674,60.739717122820565,1510,0,45.0,45
23.465991986061674,60.739717122820565,1511,0,45.0,45
23.465991986061674,60.739717122820565,1512,0,45.0,45
23.465991986061674,60.739717122820565,1513,0,45.0,45
23.465991986061674,60.739717122820565,1514,0,45.0,45
23.465991986061674,60.739717122820565,1515,0,45.0,45
23.465991986061674,60.739717122820565,1516,0,45.0,45
23.465991986061674,60.739717122820565,1517,0,45.0,45
23.465991986061674,60.739717122820565,1518,0,45.0,45
23.465991986061674,60.739717122820565,1519,0,45.0,45
23.465991986061674,60.739717122820565,1520,0,45.0,45
23.465991986061674,60.739717122820565,1521,0,45.0,45
23.465991986061674,60.739717122820565,1522,0,45.0,45
23.465991986061674,60.739717122820565,1523,0,45.0,45
23.465991986061674,60.739717122820565,1524,0,45.0,45
23.465991986061674,60.739717122820565,1525,0,45.0,45
23.465991986061674,60.739717122820565,1526,0,45.0,45
23.465991986061674,60.739717122820565,1527,0,45.0,45
23.465991986061674,60.739717122820565,1528,0,45.0,45
23.465991986061674,60.739717122820565,1529,0,45.0,45
23.465991986061674,60.739717122820565,1530,0,45.0,45
23.465991986061674,60.739717122820565,1531,0,45.0,45
23.464966965187806,60.74125161596821,1532,0,45.0,45
23.462294159780065,60.745252901881244,1533,0,45.0,45
23.459621354372324,60.74925418779427,1534,0,45.0,45
23.456948548964583,60.7532554737073,1535,0,45.0,45
23.454275743556842,60.757256759620326,1536,0,45.0,45
23.4516029381491,60.76125804553336,1537,0,45.0,45
23.44893013274136,60.76525933144639,1538,0,45.0,45
23.44625732733362,60.769260617359414,1539,0,45.0,45
23.44358452192588,60.77326190327245,1540,0,45.0,45
23.44091171651814,60.777263189185476,1541,0,45.0,45
23.4382389111104,60.7812644750985,1542,0,45.0,45
